"END_DATE","HANDLE","PARCEL","PERMIT_NO","RECORD_NO","START_DATE"
"2022-03-29","14383160060","43831600600","826","33632","2017-03-29"
"2022-03-29","14383160070","43831600700","826","33633","2017-03-29"
"2022-03-29","14389110010","43891100100","826","33643","2017-03-29"
"2022-03-29","14389110580","43891105800","826","33645","2017-03-29"
"2022-03-29","14389020010","43890200100","826","41174","2017-03-29"
"2022-03-29","14389110190","43891101900","826","47360","2017-03-29"
"2022-03-29","14383160080","43831600800","826","49130","2017-03-29"
"2022-03-29","11120000150","11200001900","983","30192","2017-03-29"
"2022-04-26","14999000530","49990005307","1145","40640","2017-04-26"
"2022-05-31","14875000065","48750000650","1146","49154","2017-05-31"
"2022-05-31","12610000160","26100001600","1148","46087","2017-05-31"
"2022-05-31","12610000165","26100001650","1148","46276","2017-05-31"
"2022-06-28","13760000260","37600002600","1150","45087","2017-06-28"
"2022-06-28","12000000170","20000001700","1151","36838","2017-06-28"
"2022-04-26","14551000240","45510002400","1153","34000","2017-04-26"
"2022-06-28","16098000240","60980002400","1156","37068","2017-06-28"
"2022-06-28","16098000220","60980002200","1157","36507","2017-06-28"
"2022-06-28","16098000240","60980002400","1157","37068","2017-06-28"
"2022-06-28","16098000210","60980002100","1157","44982","2017-06-28"
"2022-07-26","14408110340","44081103400","1159","47346","2017-07-26"
"2022-08-30","16506000160","65060001600","1160","34987","2017-08-30"
"2022-07-26","15322000430","53220004300","1161","34803","2017-07-26"
"2022-07-26","15322000420","53220004200","1161","39181","2017-07-26"
"2022-08-30","13828000160","38280001600","1162","36634","2017-08-30"
"2022-09-26","13747000351","37470003500","1163","38558","2017-09-26"
"2022-09-26","13747000347","37470003450","1163","39793","2017-09-26"
"2022-09-26","13747000337","37470003370","1163","43778","2017-09-26"
"2022-09-26","13747000343","37470003430","1163","43787","2017-09-26"
"2022-12-06","13819030390","38190303900","1167","33383","2017-12-06"
"2022-12-06","13819030010","54380003800","1167","36807","2017-12-06"
"2022-12-06","14380030170","43800301700","1168","33630","2017-12-06"
"2022-12-06","14513020400","45130204000","1169","43186","2017-12-06"
"2022-10-25","14912000050","49120000500","1171","34307","2017-10-25"
"2022-03-29","19084000185","90840001850","1173","45819","2017-03-29"
"2023-02-28","13667000020","36670000200","1174","44678","2018-02-28"
"2023-02-28","15028000250","50280002500","1175","35434","2018-02-28"
"2023-02-28","15028000240","50280002400","1175","36063","2018-02-28"
"2023-02-28","15028000260","50280002600","1175","47755","2018-02-28"
"2023-02-28","15549000270","55490002700","1176","34872","2018-02-28"
"2023-02-28","14383160140","43831601400","1180","36678","2018-02-28"
"2023-02-28","14383160130","43831601300","1180","37626","2018-02-28"
"2023-02-28","14383160180","43831601800","1180","40065","2018-02-28"
"2023-02-28","14383160150","43831601500","1180","42117","2018-02-28"
"2023-02-28","13715000380","37150003800","1181","32731","2018-02-28"
"2023-02-28","13715000420","37150004200","1181","32733","2018-02-28"
"2023-02-28","13715000430","37150004300","1181","32734","2018-02-28"
"2023-02-28","13716000140","37160001400","1181","35312","2018-02-28"
"2023-02-28","13715000340","37150003400","1181","36327","2018-02-28"
"2023-02-28","13716000120","37160001200","1181","39357","2018-02-28"
"2023-02-28","13715000350","37150003500","1181","43088","2018-02-28"
"2023-02-28","13716000170","37160001700","1181","43133","2018-02-28"
"2023-02-28","13716000190","37160001909","1181","43279","2018-02-28"
"2023-02-28","13716000180","37160001800","1181","43648","2018-02-28"
"2023-02-28","13715000390","37150003900","1181","44640","2018-02-28"
"2023-02-28","13716000200","37160002000","1181","48767","2018-02-28"
"2023-02-28","13716000160","37160001600","1181","48787","2018-02-28"
"2023-03-28","15457000180","54570001800","1182","41241","2018-03-28"
"2023-03-28","11691000280","16910002800","1183","49988","2018-03-28"
"2023-03-28","12438060060","24380600600","1184","44932","2018-03-28"
"2023-03-28","13311000060","33110000600","1185","32081","2018-03-28"
"2023-03-28","13311000050","33110000500","1185","36138","2018-03-28"
"2022-09-26","13747000347","37470003470","1186","43788","2017-09-26"
"2022-09-26","13747000351","37470003510","1187","43789","2017-09-26"
"2023-03-28","15312000390","53120003900","1189","43363","2018-03-28"
"2023-04-25","11512000220","15120002200","1190","35586","2018-04-25"
"2023-05-30","15319000080","53190000800","1193","34796","2018-05-30"
"2023-05-30","15319000090","53190000900","1193","40729","2018-05-30"
"2023-05-30","15319000100","53190001000","1193","42532","2018-05-30"
"2023-05-30","10308030040","3080300400","1197","41370","2018-05-30"
"2023-05-30","11759000210","17590002100","1200","37397","2018-05-30"
"2023-06-27","11761000200","17610002000","1202","46848","2018-06-27"
"2023-06-27","14899000110","48990001100","1203","42614","2018-06-27"
"2023-06-27","14899000100","48990001000","1203","42615","2018-06-27"
"2023-06-27","13841000010","38410000100","1205","33360","2018-06-27"
"2023-08-29","13770000470","37700004700","1207","36435","2018-08-29"
"2023-08-29","13771000160","37710001600","1207","39405","2018-08-29"
"2023-08-29","15308000160","53080001600","1209","44497","2018-08-29"
"2023-08-29","14998000160","49980001600","1210","34448","2018-08-29"
"2023-08-29","14998000170","49980001700","1210","34449","2018-08-29"
"2023-08-29","14998000180","49980001800","1210","34450","2018-08-29"
"2023-08-29","14998000190","49980001900","1210","34451","2018-08-29"
"2023-09-26","15052000210","50520002100","1212","40231","2018-09-26"
"2023-09-26","15334000220","53340002200","1213","46758","2018-09-26"
"2023-07-24","14865000120","48650001200","1215","34273","2018-07-24"
"2023-10-31","14997000360","49970003600","1217","45514","2018-10-31"
"2023-12-05","15559000140","55590001400","1220","44263","2018-12-05"
